phase_id,frame_name,frame_number,score_1,score_2,score_3,score_4,score_5
P1_V10_Phase10,frame7022.jpg,7022,2.0,1.0,2.0,2.0,2.0
P1_V10_Phase10,frame7023.jpg,7023,2.0,1.0,2.0,2.0,2.0
P1_V10_Phase10,frame7024.jpg,7024,2.0,1.0,2.0,2.0,2.0
P1_V10_Phase10,frame7025.jpg,7025,2.0,1.0,2.0,2.0,2.0
P1_V10_Phase14,frame9710.jpg,9710,4.0,3.0,4.0,3.0,3.0
P1_V10_Phase14,frame9711.jpg,9711,4.0,3.0,4.0,3.0,3.0
P1_V10_Phase14,frame9712.jpg,9712,4.0,3.0,4.0,3.0,3.0
P1_V10_Phase14,frame9713.jpg,9713,4.0,3.0,4.0,3.0,3.0
P1_V11_Phase1,frame80.jpg,80,5.0,5.0,5.0,4.0,4.0
P1_V11_Phase1,frame81.jpg,81,5.0,5.0,5.0,4.0,4.0
P1_V11_Phase1,frame82.jpg,82,5.0,5.0,5.0,4.0,4.0
P1_V11_Phase1,frame83.jpg,83,5.0,5.0,5.0,4.0,4.0
P1_V11_Phase10,frame11911.jpg,11911,2.0,1.0,2.0,2.0,1.0
P1_V11_Phase10,frame11912.jpg,11912,2.0,1.0,2.0,2.0,1.0
P1_V11_Phase10,frame11913.jpg,11913,2.0,1.0,2.0,2.0,1.0
P1_V11_Phase10,frame11914.jpg,11914,2.0,1.0,2.0,2.0,1.0
P1_V11_Phase5,frame5477.jpg,5477,2.0,2.0,1.0,1.0,1.0
P1_V11_Phase5,frame5478.jpg,5478,2.0,2.0,1.0,1.0,1.0
P1_V11_Phase5,frame5479.jpg,5479,2.0,2.0,1.0,1.0,1.0
P1_V11_Phase5,frame5480.jpg,5480,2.0,2.0,1.0,1.0,1.0
P1_V11_Phase9,frame9197.jpg,9197,4.0,3.0,4.0,3.0,3.0
P1_V11_Phase9,frame9198.jpg,9198,4.0,3.0,4.0,3.0,3.0
P1_V11_Phase9,frame9199.jpg,9199,4.0,3.0,4.0,3.0,3.0
P1_V11_Phase9,frame9200.jpg,9200,4.0,3.0,4.0,3.0,3.0
P1_V12_Phase2,frame427.jpg,427,5.0,4.0,5.0,5.0,5.0
P1_V12_Phase2,frame428.jpg,428,5.0,4.0,5.0,5.0,5.0
P1_V12_Phase2,frame429.jpg,429,5.0,4.0,5.0,5.0,5.0
